test_index,matched_train_index,max_cosine_similarity,test_label,matched_train_label,test_text_preview,matched_train_text_preview
2968,10030,1.0000000000000004,1,1,"Netanyahu lauds Trump's Iran turn, sees chance to change nuclear deal JERUSALEM (Reuters) - Israeli Prime Minister Benjamin Netanyahu congratulated U.S. President Donald Trump for his speech against Iran on Friday, seeing an opportunity to change the","Netanyahu lauds Trump's Iran turn, sees chance to change nuclear deal JERUSALEM (Reuters) - Israeli Prime Minister Benjamin Netanyahu congratulated U.S. President Donald Trump for his speech against Iran on Friday, seeing an opportunity to change the"
1535,24350,1.0000000000000004,1,1,Trump arrives in Philippines for Asian leaders' summit MANILA (Reuters) - U.S. President Donald Trump arrived in the Philippine capital Manila on Sunday to attend an annual gathering of leaders from East and Southeast Asian countries.  Trump arrived ,Trump arrives in Philippines for Asian leaders' summit MANILA (Reuters) - U.S. President Donald Trump arrived in the Philippine capital Manila on Sunday to attend an annual gathering of leaders from East and Southeast Asian countries.  Trump arrived 
1703,7242,1.0000000000000002,1,1,Japan calls North Korea's behavior 'absolutely unacceptable' TOKYO (Reuters) - Japan’s Chief Cabinet Secretary Yoshihide Suga said on Friday that North Korea’s remarks and behavior were “absolutely unacceptable” and provocative to regional and intern,Japan calls North Korea's behavior 'absolutely unacceptable' TOKYO (Reuters) - Japan s Chief Cabinet Secretary Yoshihide Suga said on Friday that North Korea s remarks and behavior were  absolutely unacceptable  and provocative to regional and intern
1234,12761,1.0000000000000002,1,1,"UK PM May is focused on tackling extremism, spokesman says in response to Trump LONDON (Reuters) - British Prime Minister Theresa May is fully focused on tackling extremism, her spokesman said on Thursday, responding to a tweet by U.S. President Dona","UK PM May is focused on tackling extremism, spokesman says in response to Trump LONDON (Reuters) - British Prime Minister Theresa May is fully focused on tackling extremism, her spokesman said on Thursday, responding to a tweet by U.S. President Dona"
3829,5962,1.0000000000000002,1,1,North Korea not ready to meet with South Korea in Russia: agencies MOSCOW (Reuters) - Politicians from North and South Korea will not hold direct talks in Russia on Monday about Pyongyang’s nuclear and missile program despite attending the same event,North Korea not ready to meet with South Korea in Russia: agencies MOSCOW (Reuters) - Politicians from North and South Korea will not hold direct talks in Russia on Monday about Pyongyang s nuclear and missile program despite attending the same event
1411,14167,1.0000000000000002,1,1,U.S. appoints new top official at Havana embassy as tensions flare HAVANA (Reuters) - The United States said on Thursday it had designated career diplomat Lawrence Gumbiner as the new chief of its Cuba embassy that has been at the center of a diploma,U.S. appoints new top official at Havana embassy as tensions flare HAVANA (Reuters) - The United States said on Thursday it had designated career diplomat Lawrence Gumbiner as the new chief of its Cuba embassy that has been at the center of a diploma
3487,15481,1.0000000000000002,1,1,"Trump, South Korea's Moon agree to boost defenses: White House WASHINGTON (Reuters) - U.S. President Donald Trump and South Korean President Moon Jae-in agreed to strengthen their defense posture amid rising tensions with North Korea, the White House","Trump, South Korea's Moon agree to boost defenses: White House WASHINGTON (Reuters) - U.S. President Donald Trump and South Korean President Moon Jae-in agreed to strengthen their defense posture amid rising tensions with North Korea, the White House"
3015,4924,1.0000000000000002,1,1,"U.S. Commerce Secretary says market access, protectionism top China issues HONG KONG (Reuters) - U.S. Commerce Secretary Wilbur Ross said on Wednesday the U.S. relationship with China was too lopsided and listed market access, protectionism and intel","U.S. Commerce Secretary says market access, protectionism top China issues HONG KONG (Reuters) - U.S. Commerce Secretary Wilbur Ross said on Wednesday the U.S. relationship with China was too lopsided and listed market access, protectionism and intel"
3369,19577,1.0000000000000002,1,1,"Libya says pushing to be removed from Trump travel ban list TRIPOLI (Reuters) - Libya’s internationally recognized government has appealed to the United States to drop or ease a travel ban imposed on its citizens by U.S. President Donald Trump, the F","Libya says pushing to be removed from Trump travel ban list TRIPOLI (Reuters) - Libya s internationally recognized government has appealed to the United States to drop or ease a travel ban imposed on its citizens by U.S. President Donald Trump, the F"
930,13432,1.0000000000000002,1,1,"Russia tells North Korea, U.S. 'hot heads' to calm down UNITED NATIONS (Reuters) - Russia’s foreign minister said on Friday the leaders of North Korea and the United States should tone down their bellicose rhetoric and warned that a collapse of a nuc","Russia tells North Korea, U.S. 'hot heads' to calm down UNITED NATIONS (Reuters) - Russia s foreign minister said on Friday the leaders of North Korea and the United States should tone down their bellicose rhetoric and warned that a collapse of a nuc"
